Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
Belgorod Oblast,2017,1.79,60.0,3.52,0.78,0.31,1.52,0.14,5.6,Belgorod Oblast
bryansk oblast,2017,3.02,34.21,4.29,0.83,0.46,0.86,0.69,4.8,Bryansk Oblast
vladimir oblast,2017,3.7,58.93,6.73,0.91,0.78,1.6,0.54,7.5,Vladimir Oblast
Voronezh Oblast,2017,2.68,33.17,3.69,1.04,0.6,0.91,0.32,4.4,Voronezh Oblast
Ivanovo Oblast,2017,3.42,41.01,5.69,0.83,0.6,1.36,0.61,5.9,Ivanovo Oblast
Kaluga Oblast,2017,3.98,41.78,6.21,1.24,0.86,0.79,0.61,6.4,Kaluga Oblast
Kostroma Oblast,2017,3.43,48.64,7.68,0.85,0.6,2.52,0.62,7.2,Kostroma Oblast
Kursk Oblast,2017,2.16,30.9,3.66,0.99,0.5,0.75,0.27,4.1,Kursk Oblast
Lipetsk Oblast,2017,2.59,41.46,4.03,0.9,0.51,0.71,0.35,5.0,Lipetsk Oblast
moscow oblast,2017,5.82,48.33,7.61,1.98,1.39,0.86,0.62,7.9,Moscow Oblast
Oryol Oblast,2017,2.6,34.86,3.85,1.12,0.58,1.01,0.3,4.6,Oryol Oblast
Ryazan Oblast,2017,3.17,60.62,4.36,1.06,0.61,1.19,0.39,6.4,Ryazan Oblast
Smolensk Oblast,2017,3.63,45.33,6.35,1.31,0.89,1.34,0.46,6.6,Smolensk Oblast
Tambov Oblast,2017,1.98,36.34,3.02,0.64,0.4,0.55,0.27,4.1,Tambov Oblast
Tver Oblast,2017,4.2,42.15,6.92,1.22,0.82,1.74,0.66,6.7,Tver Oblast
Tula Oblast,2017,3.31,38.33,4.19,0.86,0.64,0.91,0.43,5.0,Tula Oblast
yaroslavl oblast,2017,4.87,42.7,7.41,1.23,1.03,1.06,0.54,7.1,Yaroslavl Oblast
Moscow,2017,5.35,66.54,4.78,1.87,1.05,0.87,0.4,7.5,Moscow
republic of karelia,2017,6.79,54.64,11.12,1.42,1.38,1.13,0.93,9.9,Republic of Karelia
komi republic,2017,4.99,61.94,11.36,1.45,1.08,1.03,0.67,9.9,Komi Republic
nenets autonomous okrug,2017,8.47,51.31,8.97,2.31,1.03,1.14,0.31,8.8,Nenets Autonomous Okrug
Vologda Oblast,2017,4.56,46.27,8.59,0.92,0.73,1.04,0.68,7.6,Vologda Oblast
Kaliningrad Oblast,2017,4.82,29.02,3.79,0.92,0.77,0.99,0.37,4.6,Kaliningrad Oblast
Leningrad Oblast,2017,5.9,48.59,7.86,1.62,1.46,1.14,0.7,8.0,Leningrad Oblast
murmansk oblast,2017,5.32,65.58,8.91,2.4,1.9,0.94,0.7,9.7,Murmansk Oblast
Novgorod Oblast,2017,4.49,48.69,6.54,1.1,1.0,1.66,0.57,7.1,Novgorod Oblast
Pskov Oblast,2017,4.13,48.48,5.6,1.35,0.82,2.32,0.44,6.6,Pskov Oblast
saint petersburg,2017,6.66,35.7,4.96,2.03,1.37,1.08,0.49,6.2,Saint Petersburg
arkhangelsk oblast,2017,4.98,45.68,9.4,1.59,0.97,1.15,0.67,8.1,Arkhangelsk Oblast
adygea,2017,2.83,87.51,3.92,1.0,0.56,1.55,0.21,7.8,Adygea
kalmykia,2017,0.94,18.03,3.16,0.22,0.37,0.23,0.07,2.7,Kalmykia
republic of crimea,2017,3.91,41.17,3.87,1.5,0.88,1.08,0.15,5.3,Republic of Crimea
Krasnodar Krai,2017,3.88,38.81,3.23,1.46,0.74,0.7,0.2,4.8,Krasnodar Krai
Astrakhan Oblast,2017,2.02,31.53,3.77,0.58,0.55,1.01,0.19,4.1,Astrakhan Oblast
Volgograd Oblast,2017,2.29,33.73,2.92,0.98,0.53,1.1,0.23,4.0,Volgograd Oblast
Rostov Oblast,2017,2.03,31.86,2.51,0.95,0.54,0.8,0.18,3.7,Rostov Oblast
sevastopol,2017,5.38,43.19,5.79,2.82,1.16,1.51,0.25,6.7,Sevastopol
dagestan,2017,0.22,5.45,0.77,0.1,0.2,0.01,0.01,0.8,Dagestan
ingushetia,2017,0.02,0.32,0.22,0.0,0.01,0.0,0.0,0.1,Ingushetia
kabardinobalkaria,2017,0.36,6.9,0.53,0.18,0.14,0.04,0.01,0.8,Kabardino-Balkaria
karachaycherkessia,2017,0.65,20.95,0.77,0.24,0.18,0.04,0.05,1.8,Karachay-Cherkessia
north ossetiaalania,2017,0.36,2.93,0.27,0.34,0.1,0.02,0.01,0.4,North Ossetia-Alania
chechnya,2017,0.01,0.37,0.08,0.0,0.01,0.0,0.0,0.1,Chechnya
Stavropol Krai,2017,1.79,20.81,1.86,0.77,0.44,0.44,0.16,2.6,Stavropol Krai
bashkortostan,2017,2.12,35.89,6.08,0.66,0.41,0.52,0.62,5.4,Bashkortostan
mari el,2017,2.44,37.37,6.45,0.5,0.57,0.71,0.52,5.7,Mari El
mordovia,2017,1.78,30.53,5.8,0.54,0.34,0.85,0.28,4.8,Mordovia
tatarstan,2017,2.23,86.94,6.99,0.54,0.59,0.67,0.52,8.9,Tatarstan
udmurtia,2017,2.99,48.18,8.54,0.74,0.59,0.98,0.48,7.3,Udmurtia
chuvashia,2017,1.99,35.25,6.71,0.46,0.46,0.33,0.8,5.7,Chuvashia
Perm Krai,2017,3.28,44.3,5.82,0.74,0.75,0.75,0.4,6.1,Perm Krai
Kirov Oblast,2017,3.55,55.16,8.65,0.92,0.6,0.86,0.46,7.9,Kirov Oblast
Nizhny Novgorod Oblast,2017,3.62,47.6,5.49,1.03,0.73,0.7,0.58,6.3,Nizhny Novgorod Oblast
Orenburg Oblast,2017,2.51,38.27,3.3,0.75,0.35,0.67,0.24,4.4,Orenburg Oblast
Penza Oblast,2017,1.96,55.12,3.95,0.56,0.37,1.12,0.64,5.7,Penza Oblast
Samara Oblast,2017,3.13,51.87,3.56,0.93,0.6,0.98,0.28,5.5,Samara Oblast
Saratov Oblast,2017,2.03,37.88,2.26,0.66,0.42,1.04,0.23,3.9,Saratov Oblast
Ulyanovsk Oblast,2017,2.67,39.49,3.47,0.81,0.47,1.02,0.23,4.6,Ulyanovsk Oblast
Kurgan Oblast,2017,2.59,53.06,2.79,0.81,0.37,0.93,0.27,5.1,Kurgan Oblast
Sverdlovsk Oblast,2017,4.36,58.28,5.38,1.2,0.79,0.93,0.43,7.0,Sverdlovsk Oblast
khantymansi autonomous okrug  yugra,2017,3.22,58.31,6.02,1.54,1.07,0.77,0.45,7.2,khantymansi autonomous okrug  yugra
yamalonenets autonomous okrug,2017,3.51,55.97,7.7,1.8,1.39,0.63,0.53,8.0,Yamalo-Nenets Autonomous Okrug
Chelyabinsk Oblast,2017,3.26,41.95,3.89,1.04,0.55,0.66,0.37,5.1,Chelyabinsk Oblast
tyumen oblast,2017,3.16,44.95,4.68,1.08,0.57,0.65,0.29,5.5,Tyumen Oblast
altai republic,2017,2.28,41.2,4.56,0.34,0.25,0.58,0.13,4.8,Altai Republic
tuva,2017,0.78,12.5,1.81,0.34,0.17,0.01,0.02,1.7,Tuva
khakassia,2017,2.04,57.8,2.52,0.75,0.32,0.24,0.15,5.1,Khakassia
altai krai,2017,2.27,47.06,3.83,0.55,0.28,0.53,0.2,5.0,Altai Krai
Krasnoyarsk Krai,2017,3.15,37.81,4.57,1.25,0.62,0.24,0.27,5.1,Krasnoyarsk Krai
Irkutsk Oblast,2017,3.14,50.43,5.39,0.97,0.43,0.35,0.47,6.1,Irkutsk Oblast
kemerovo oblast,2017,2.58,46.59,5.16,0.79,0.5,0.4,0.31,5.7,Kemerovo Oblast
Novosibirsk Oblast,2017,3.35,45.44,3.74,0.96,0.53,0.55,0.25,5.2,Novosibirsk Oblast
Omsk Oblast,2017,2.64,30.58,2.5,0.92,0.4,0.41,0.22,3.6,Omsk Oblast
tomsk oblast,2017,3.12,53.86,4.35,1.09,0.64,0.35,0.32,6.0,Tomsk Oblast
buryatia,2017,1.9,38.32,6.84,0.44,0.24,0.19,0.19,5.5,Buryatia
sakha yakutia,2017,2.16,29.6,7.06,1.29,0.53,0.48,0.16,5.4,Sakha (Yakutia)
Zabaykalsky Krai,2017,2.59,37.43,5.17,0.49,0.23,0.3,0.23,4.9,Zabaykalsky Krai
Kamchatka Krai,2017,4.49,81.19,9.73,3.11,1.46,0.97,0.5,10.7,Kamchatka Krai
Primorsky Krai,2017,4.02,44.22,6.59,1.61,0.88,0.27,0.65,6.7,Primorsky Krai
Khabarovsk Krai,2017,3.52,51.48,9.27,2.31,0.93,0.69,0.66,8.3,Khabarovsk Krai
Amur Oblast,2017,3.45,58.79,6.22,1.06,0.5,0.67,0.32,7.0,Amur Oblast
magadan oblast,2017,4.1,55.92,12.14,3.08,1.6,0.8,0.43,10.1,Magadan Oblast
sakhalin oblast,2017,5.11,62.21,12.67,3.36,1.3,0.51,0.55,10.8,Sakhalin Oblast
jewish autonomous oblast,2017,2.44,65.75,7.75,1.1,0.46,0.56,0.43,7.9,Jewish Autonomous Oblast
chukotka autonomous okrug,2017,2.99,47.39,11.05,2.02,1.37,0.15,0.29,8.6,Chukotka Autonomous Okrug
Belgorod Oblast,2018,1.87,48.91,3.8,0.76,0.33,0.66,0.18,5.1,Belgorod Oblast
bryansk oblast,2018,2.99,38.59,4.32,0.82,0.52,0.45,0.74,5.4,Bryansk Oblast
vladimir oblast,2018,3.74,49.64,6.74,0.94,0.86,0.72,0.63,7.4,Vladimir Oblast
Voronezh Oblast,2018,2.75,39.58,3.85,1.03,0.67,0.42,0.37,5.1,Voronezh Oblast
Ivanovo Oblast,2018,3.6,52.88,5.86,0.87,0.68,0.49,0.68,7.2,Ivanovo Oblast
Kaluga Oblast,2018,4.05,46.51,6.21,1.24,0.93,0.52,0.66,6.9,Kaluga Oblast
Kostroma Oblast,2018,3.67,53.53,7.87,0.85,0.72,0.43,0.59,7.9,Kostroma Oblast
